...1,CellType,estimate,se,zval,pval,ci.lb,ci.ub,padj,stratum,depth_xenium,depth_merfish
Sst_22,Sst_22,-0.27142856495951,0.0808981876307707,-3.35518721628652,7.9311289677734e-4,-0.429986099130384,-0.112871030788636,0.0216123264371826,depleted,0.26203283784302933,0.24545012325142712
Sst_25,Sst_25,-0.25899264634325603,0.0826138738897393,-3.13497762723148,0.00171867218547075,-0.420912863790479,-0.0970724288960327,0.0374670536432624,depleted,0.21753517520110324,0.31499849427345644
Sst_2,Sst_2,-0.254509920135936,0.0591534995883802,-4.30253361013202,1.68856046339816e-5,-0.370448648888667,-0.138571191383206,9.2026545255199e-4,depleted,0.3210172480957289,0.3863598456999736
Sst_3,Sst_3,-0.186286911011216,0.0617411940282608,-3.01722235766849,0.00255102610277124,-0.307297427669107,-0.0652763943533258,0.0463436408670109,depleted,0.46173654180350066,0.4864761323883867
Sst_20,Sst_20,-0.174676636280529,0.0747117440175118,-2.33800774667483,0.019386846286962,-0.321108963777028,-0.0282443087840304,0.192106022298078,depleted,0.2953085202956327,0.3072222781690367
Sst_11,Sst_11,-0.131932494421812,0.0767263892528842,-1.71951913424431,0.085519886608411,-0.282313454021266,0.0184484651776425,0.405289897405078,intermediate,0.23574878979150368,0.20933557296696323
Sst_13,Sst_13,-0.0817744078418891,0.0556219860096725,-1.47018137445989,0.141512637776069,-0.190791497169438,0.0272426814856598,0.499604933085498,intermediate,0.6038585997349777,0.6356090838243849
Sst_23,Sst_23,-0.0654486788027768,0.0700522250641106,-0.934284082238348,0.350157373023614,-0.202748516965328,0.0718511593597741,0.652482950989092,intermediate,0.1964237744903318,0.18271475961269015
Sst_12,Sst_12,-0.0614500257970238,0.0661862188405618,-0.928441401752424,0.353178650837457,-0.191172630997411,0.0682725794033636,0.652482950989092,intermediate,0.771011854238486,0.7612772736571891
Sst_9,Sst_9,-0.0612491014058203,0.0545312450350913,-1.12319279279991,0.261355622870788,-0.168128377706728,0.0456301748950872,0.569755257858317,intermediate,0.6067336791970351,0.6012569898612904
Sst_19,Sst_19,-0.05323807353256,0.053867350818735,-0.988318020533577,0.322996922597446,-0.158816141079865,0.0523399940147449,0.640121173874938,intermediate,0.5540052720067934,0.5430210600339906
Sst_7,Sst_7,0.0150039041691,0.0660530061246496,0.227149452377472,0.820307531462136,-0.114457608905817,0.144465417244017,0.961919380354394,non_depleted,0.7954662205573154,0.8047125703166287
Sst_5,Sst_5,0.0309783749550944,0.0667703598466859,0.463953991355222,0.642680709122851,-0.0998891255791894,0.161845875489378,0.833954729695128,non_depleted,0.6629835873000309,0.7402868500823627
Sst_4,Sst_4,0.0416898873119017,0.0659924621571455,0.631737109802435,0.527558674671892,-0.087652961767226,0.171032736391029,0.766718607189817,non_depleted,0.7267671847772811,0.7289674006407744
Sst_1,Sst_1,0.0697615060622537,0.0618378532279409,1.1281359623709,0.259262503421158,-0.0514384591457843,0.190961471270292,0.569755257858317,non_depleted,0.786377682853672,0.7275974633186215
Sst_10,Sst_10,0.07088016835135,0.0582623091165044,1.21656984465916,0.223767921882224,-0.043311859173138303,0.185072195875838,0.552868160375212,non_depleted,0.6067260989098762,0.6743330891592931
